Graph 1
0, 1, 2
3, 4, 25
3, 9, 17
3, 9, 19
3, 15, 17
3, 15, 23
3, 17, 21
3, 19, 21
3, 19, 23
3, 21, 25
3, 23, 25
4, 10, 18
4, 10, 20
4, 16, 18
4, 16, 24
4, 18, 22
4, 20, 22
4, 20, 24
4, 22, 25
4, 24, 25
5, 6, 14
5, 6, 25
5, 7, 12
5, 7, 24
5, 9, 12
5, 9, 19
5, 12, 25
5, 14, 16
5, 14, 19
5, 16, 19
5, 16, 24
5, 24, 25
6, 8, 11
6, 8, 23
6, 10, 11
6, 10, 20
6, 11, 25
6, 14, 15
6, 14, 20
6, 15, 20
6, 15, 23
6, 23, 25
7, 10, 18
7, 10, 21
7, 12, 15
7, 12, 18
7, 15, 17
7, 15, 18
7, 17, 21
7, 17, 24
8, 9, 17
8, 9, 22
8, 11, 16
8, 11, 17
8, 16, 17
8, 16, 18
8, 18, 22
8, 18, 23
9, 12, 13
9, 12, 22
9, 13, 19
9, 13, 20
9, 17, 20
9, 20, 22
10, 11, 13
10, 11, 21
10, 13, 19
10, 13, 20
10, 18, 19
10, 19, 21
11, 12, 13
11, 12, 25
11, 16, 17
11, 17, 21
11, 21, 25
12, 15, 18
12, 18, 22
12, 22, 25
13, 19, 23
13, 20, 24
13, 23, 24
14, 15, 20
14, 16, 19
14, 19, 21
14, 20, 22
14, 21, 22
15, 17, 20
15, 18, 23
16, 17, 24
16, 18, 19
17, 20, 24
18, 19, 23
21, 22, 25
23, 24, 25
